T1	Person 47 64	James Schlesinger
T2	Place 180 188	New York
T3	Organisation 454 473	United Mine workers
T4	Place 683 687	Ohio
T5	Place 689 697	Maryland
T6	Place 702 710	Kentucky
T7	Place 760 773	West Virginia
T8	Place 778 786	Virginia
T9	Person 813 826	Arnold Miller
T10	Place 1993 1999	Sesser
T11	Place 2022 2030	Illinois
T12	Organisation 2120 2139	United Mine workers
T13	Person 4618 4631	Arnold Miller
T14	Person 5251 5264	Arnold Miller
T15	Person 6062 6068	Thomas
T16	Person 9522 9535	Arnold Miller
T17	Organisation 12651 12670	United Mine workers
T18	Organisation 12700 12719	United Auto workers
T19	Organisation 12874 12893	United Mine workers
T20	Place 13558 13568	Appalachia
T21	Device 14184 14194	remarkable
T22	Person 19016 19029	Arnold Miller
T23	Place 19301 19309	Illinois
T24	Person 21142 21152	Washington
T25	Place 21722 21730	Illinois
T26	Place 21746 21759	West Virginia
T27	Place 22755 22768	West Virginia
T28	Person 23648 23653	Lewis
T29	Place 24622 24630	Illinois
T30	Place 24735 24743	illinois
T31	Place 24789 24802	West Virginia
T32	Person 25586 25591	Lewis
T33	Place 25945 25955	Appalachia
T34	Place 25968 25972	Ohio
T35	Place 25977 25989	Pennsylvania
T36	Person 27031 27041	Washington
T37	Person 27188 27210	charlayne hunter-Gault
